DQ_APPROVAL_STEP__C,DQ_APPROVAL_TYPE__C,DEAL_TYPE__C,BRAND__C,REGION__C,SEGMENT__C,SUB_REGION__C
Level 3_Unified Quoting Approval_3,Special Term+++36+47,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Special Term+++48+59,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Special Term+++60+71,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+Default Contact Center+35.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_ Limited_Extensions+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_Live_Reports+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_Minute_Bundles+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_RC_Webinar_Rooms+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+RC_Meetings+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_RC_Webinar+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_Global_Office+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+Rental_Phones+50.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+GOA_RC_Webinar_Rooms+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+RC_Meetings+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+GOA_RC_Webinar+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+GOA_IVN_and_GLIP+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+GOA_Global_Office+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Finance__3,Discount+Rental_Phones+50.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
